#{"t_start": 1754334945.4703574, "env_id": "None"}
r,l,t
478.606009,2973,1876.971422
177.27456,420,1878.802984
57.184577,706,1881.945835
1758.36621,3600,1897.968574
468.181254,1823,1906.099603
813.520057,2625,1917.611673
464.32501,3166,1931.646843
35.172435,164,1932.398687
1384.952327,3600,1948.310019
327.656035,1500,1955.007785
809.42461,3600,1971.037918
547.588528,3600,1987.188845
188.42394,336,1988.685636
836.2503,3600,2004.921821
174.651462,1145,2010.079984
104.780222,242,2011.152666
636.255717,1825,2019.400754
155.571792,3532,2035.124782
82.504641,227,2036.084105
376.159452,612,2038.687415
888.341245,3600,2054.39893
355.99782,2720,2066.164884
1625.268551,3600,2081.754446
1402.033813,3600,2097.45906
232.394489,550,2099.758303
305.963144,502,2101.956384
318.200719,3600,2117.646508
242.688982,786,2121.059631
599.44962,1559,2127.848237
375.907606,703,2130.850502
258.503641,706,2133.933129
81.945182,255,2135.073515
177.093545,364,2136.636358
620.46182,1636,2143.851012
931.840667,3600,2159.549035
574.78237,1506,2166.036072
48.998141,211,2166.964627
1110.111395,3600,2182.462566
674.768721,2192,2191.945999
150.468795,983,2196.426432
227.409175,534,2198.692586
486.726879,2889,2211.389063
32.790711,305,2212.737576
1323.300993,3600,2228.303286
113.358295,265,2229.723866
137.151812,313,2231.048612
-0.905259,232,2232.008785
1335.628559,3222,2245.98936
796.20547,2581,2257.299028
33.862607,160,2258.005981
17.055649,137,2258.620578
561.849114,1006,2262.957967
58.122297,375,2264.783905
369.789591,759,2268.057855
1378.650033,3600,2283.705436
59.431636,308,2285.049715
159.536864,533,2287.365582
592.060321,3600,2303.489146
192.173141,533,2305.803404
386.865755,1528,2314.326822
146.001437,610,2317.065215
978.125151,3600,2333.30923
784.44145,3600,2351.352774
584.999226,3040,2365.748978
85.797415,224,2367.042667
1204.918337,3600,2383.738326
647.581905,3600,2401.829796
47.61245,210,2402.769905
63.363449,215,2403.733665
277.114727,446,2405.714302
1063.684794,3600,2423.310656
12.406163,135,2423.994051
228.221127,3290,2439.095057
612.670852,2351,2451.209373
158.860344,2436,2462.251851
262.837284,1469,2468.79098
580.296474,1170,2475.1783
110.728862,264,2476.652107
593.294301,1929,2486.050284
32.262471,160,2486.739013
