#{"t_start": 1754382840.6155393, "env_id": "None"}
r,l,t
581.891534,1027,1127.769002
170.82186,418,1129.975197
56.283034,238,1131.216388
136.513896,363,1132.980422
485.271757,1103,1137.785207
592.485226,1675,1144.384005
418.455484,726,1147.177312
84.931224,267,1148.17618
69.406796,247,1149.074799
48.13556,217,1149.864938
172.03624,885,1153.722686
133.187288,346,1155.407446
50.927396,222,1156.493736
167.600317,445,1158.494596
150.166427,359,1160.352565
39.290014,199,1161.283034
113.880402,305,1162.542232
660.298535,2191,1171.37907
321.387416,1049,1175.294457
1424.2025,3600,1191.542277
209.526901,464,1193.421236
723.702908,3600,1207.058241
50.094083,219,1207.851593
1049.649856,2675,1220.469503
54.615401,223,1221.386324
64.024263,248,1222.619423
46.124255,267,1223.740583
383.614676,1041,1227.767872
181.463729,583,1230.013122
673.187109,2083,1237.730339
52.993248,281,1239.22447
187.946221,1564,1247.085096
113.343491,389,1248.696843
303.90344,842,1252.294387
37.670145,317,1253.670638
91.362195,291,1254.811547
112.482334,349,1256.099446
262.162167,934,1259.840735
94.307676,352,1261.11953
87.557592,269,1262.130958
888.620747,2620,1273.611978
50.626777,213,1274.823832
869.25966,3600,1288.96205
67.472693,245,1289.850084
270.289313,1073,1294.036203
57.237325,226,1294.87211
1301.127975,3600,1311.677132
74.699027,247,1312.606965
35.036732,193,1313.356379
649.792325,2917,1324.240836
57.706928,353,1326.220696
312.191045,3600,1342.000542
29.509057,227,1343.09588
363.600636,964,1346.688056
87.094817,271,1347.728439
113.581085,386,1349.27419
35.846028,200,1350.050956
71.961491,288,1351.148632
529.257246,3244,1366.162202
568.386957,2524,1375.861197
80.065627,346,1377.345135
67.09637,286,1378.410918
1234.003802,3600,1394.513547
42.133975,300,1395.889332
141.491975,466,1397.645623
113.978811,463,1399.407116
737.942247,3600,1414.293439
319.325164,1515,1421.339996
150.996808,363,1422.84619
49.608224,219,1423.75793
36.311315,205,1424.612742
87.939479,275,1425.666571
355.379786,1237,1430.557246
813.722937,2528,1440.428898
350.926952,1967,1449.914586
1235.261472,3600,1464.062101
57.607679,261,1465.031191
86.510459,286,1466.09116
910.098015,3600,1482.79353
878.48926,3230,1494.926281
120.7417,315,1496.18805
168.782067,744,1500.125448
989.190986,3600,1515.48789
367.90781,1296,1520.559935
60.600779,257,1521.492861
65.944501,252,1522.443219
1346.8954,3600,1538.704921
764.197305,3457,1551.901793
667.892189,1344,1558.4876
39.40677,220,1559.627123
58.987101,257,1560.994191
503.327143,1590,1567.87102
96.262236,2187,1576.232547
298.957656,648,1578.580808
124.024207,365,1579.913968
697.080885,2614,1592.163281
166.58861,2308,1601.230309
145.40786,667,1603.9331
67.216098,260,1604.939148
92.724835,298,1606.031508
577.009215,2141,1615.624559
92.331287,357,1617.572502
1009.13285,3600,1631.865563
519.837895,2010,1639.82853
381.074453,2092,1650.156827
181.723156,444,1651.988255
89.301527,292,1653.228559
254.607806,957,1656.956161
75.265408,309,1658.075463
52.220471,336,1659.279467
558.284009,3600,1674.244198
150.611961,390,1676.276323
443.480151,1767,1683.758057
81.650316,274,1684.807986
118.293805,338,1686.09043
146.892585,383,1687.537833
637.976833,2747,1698.35884
66.815334,245,1699.728648
324.862144,1925,1729.997931
68.099586,306,1731.496545
756.298554,3600,1747.936778
43.792029,466,1749.677542
49.289314,335,1751.036131
947.741966,3600,1766.516983
62.383276,280,1768.034727
410.225824,3600,1782.636941
1161.696211,3600,1798.296302
64.273078,244,1799.345646
66.903791,267,1800.507632
842.522069,2007,1808.296152
88.910144,303,1809.400754
198.705992,1468,1815.030573
77.668655,278,1816.044822
203.161761,1802,1824.807752
28.08653,200,1825.783382
93.108484,299,1827.115872
59.534652,622,1829.675481
29.315643,197,1830.517168
838.688253,2338,1839.57121
380.804887,2034,1847.408053
281.706713,850,1851.487536
566.573994,1876,1859.279397
23.471118,184,1859.962532
37.996193,205,1860.750474
62.607197,240,1861.679119
112.167546,504,1863.595779
631.871755,3600,1878.449555
153.518409,2041,1887.603677
279.595564,1346,1892.728061
143.810707,1427,1898.011107
29.606748,244,1899.143789
45.212897,224,1899.944338
61.50619,247,1900.81103
46.516424,225,1901.860929
163.361307,857,1906.227448
68.648495,288,1907.760734
201.527518,882,1911.97541
472.83442,3600,1925.705481
590.923753,1748,1933.262222
159.598222,1034,1938.28056
654.727901,3600,1952.851566
572.222167,2023,1962.188664
259.44731,999,1967.081669
110.006679,349,1968.586631
67.495924,262,1969.894833
54.471799,264,1970.982155
469.406066,2243,1979.38136
1071.531349,3600,1995.407015
115.85017,1720,2002.426224
203.623842,880,2005.919172
258.34679,848,2009.005394
40.186753,215,2009.773507
1529.511571,3600,2025.340746
218.957125,1749,2032.07262
71.470855,265,2033.065636
43.323082,222,2033.922617
309.17187,2357,2042.677719
643.2119,3238,2057.363158
713.240035,3600,2071.096819
211.005604,1802,2079.837845
79.604696,344,2081.2486
78.483819,302,2082.472641
216.059617,531,2084.649924
58.240134,246,2085.64108
113.695198,1443,2091.17132
948.853585,3600,2106.306897
33.126128,215,2107.379289
78.06108,280,2108.774346
552.314455,2907,2120.014068
434.093488,1054,2124.035997
367.103584,1791,2131.269019
93.649168,302,2132.87848
332.591235,1038,2137.967153
959.363435,3600,2151.925095
52.057264,233,2152.718739
34.753806,247,2153.63558
281.226401,846,2156.992498
72.605901,273,2158.269504
1130.722219,3600,2174.79244
310.844279,1137,2178.924913
274.210285,772,2181.792511
78.56611,282,2182.925359
475.537315,1573,2189.804932
66.408783,277,2191.128113
230.882894,564,2193.761815
101.890141,334,2195.478374
811.605509,3412,2209.030379
31.45216,207,2209.789814
307.291333,2838,2221.713013
200.072724,1574,2228.800785
195.181923,2832,2239.614164
400.140816,2179,2248.809078
76.628425,279,2250.286723
110.493093,332,2251.988752
100.554274,996,2256.155561
67.724033,262,2257.239663
510.767987,1269,2262.188225
56.047743,236,2263.064727
63.920853,1096,2267.194481
20.923609,179,2267.942363
994.413735,2802,2280.964327
48.864931,223,2282.10085
34.424435,264,2283.164018
88.758557,327,2284.500247
974.949057,3600,2298.225196
240.235987,1520,2304.885697
84.971087,358,2306.795054
568.037953,1144,2312.539741
397.770827,1989,2320.493972
948.715539,3600,2334.795325
190.963766,777,2338.88577
499.90941,3134,2351.727632
397.077646,1437,2357.016123
1095.946897,2890,2370.241453
360.798287,951,2374.169413
154.677924,809,2377.276888
278.649062,3494,2391.00624
1363.75234,3600,2406.714587
151.453479,556,2408.793959
123.085016,1251,2413.513508
837.171418,3600,2429.226219
56.348831,490,2431.407997
207.632524,1798,2438.19397
555.796315,3553,2453.425329
671.826444,2303,2463.587319
41.307376,237,2464.725755
403.057298,3600,2479.071643
172.9861,455,2481.505773
222.527637,491,2483.585952
927.985664,3256,2495.775213
53.428237,248,2496.67279
29.972605,196,2497.621217
95.576497,320,2498.75814
471.376862,1634,2505.702775
75.032267,269,2507.099118
732.062256,3461,2521.976747
69.768345,279,2523.173414
575.460528,3600,2538.429923
71.143714,326,2539.827766
109.52682,594,2542.316948
58.721023,333,2543.752153
555.133897,3600,2561.816756
105.339678,321,2563.655209
1313.74228,3600,2582.439226
196.822108,1163,2587.953436
116.806276,417,2590.260921
35.139034,204,2591.382113
50.093632,286,2593.133226
68.821551,353,2594.992235
143.296869,1418,2601.633734
60.076108,244,2602.732718
108.526173,360,2604.308071
48.722798,223,2605.361198
61.154199,3230,2620.293362
363.775522,1972,2628.260149
36.186411,203,2629.000337
